No,Arrival_Rate,Observed Response time,Theoretical_result
1,0.1,1.1871904143086667,1.1111111111111112
2,0.2,1.3780666781377204,1.25
3,0.30000000000000004,1.4309982745128083,1.4285714285714286
4,0.4,1.5984116619943645,1.6666666666666667
5,0.5,2.1434545794087496,2.0
6,0.6,2.8877863074762433,2.5
7,0.7,3.2496817938209634,3.333333333333333
8,0.7999999999999999,3.6214073509923526,4.999999999999998
9,0.8999999999999999,10.815247717755417,9.999999999999991
10,0.9999999999999999,13.937689818178285,9007199254740992.0
11,1.0999999999999999,46.65758118213333,-10.000000000000014
12,1.2,103.45154793214543,-5.000000000000001
13,1.3,146.78441510323182,-3.333333333333333
14,1.4000000000000001,190.3102576575392,-2.499999999999999
15,1.5000000000000002,300.3785309211765,-1.9999999999999991
16,1.6000000000000003,337.08163888039155,-1.6666666666666659
17,1.7000000000000004,363.59021549347466,-1.4285714285714277
18,1.8000000000000005,368.4473483954094,-1.2499999999999993
19,1.9000000000000006,440.4396249864756,-1.1111111111111105
